,Reviews,trial_1,trial_2,trial_3,trial_4,trial_5
0,"We have been going to Dal Rae for many years. Never disappointed. However this visit was a very different experience.
First of all, the hosts were very accommodating. They sat us within 15 minutes although we arrived 45 minutes before our reservation time.
We were sat at the bar area. From the very beginning we felt like our server was rushing us to order. We ordered two pomegranate margaritas and it didnât taste like what we expected. So we asked to return it and got two glasses of Merlot instead. We can tell our server was not happy about it from her facial expression. We finished our food and we need some to go boxes. The bus person came and took our plates away in very rush manner and didnât even ask us where the untouched baked potato goes. He rushed the food to the packing area, packed and brought them back. We felt like we were rushing to leave the restaurant but it was only 9PM.
During our dinner, we had this couple sitting next to us. Apparently they were either old staffs or long time customers. Almost everyone in the restaurant came greet them. They were so loud that at one point we have to talk louder than them so they realized they were loud.
We clearly didnât enjoy our evening.",0,0,0,0,0
1,"Very mediocre at best. Many other restaurants I can spend $350.00 and get much better all around. Better food, better service, better ambiance. Very disappointing, save your money and go elsewhere.",1,1,1,1,1
2,"Have been dining here at least once or twice a year for about 30 years.
Decided to go in for lunch to get the traditional Shrimp Louie I had been craving.
Was so disappointed to see it was now made with shredded lettuce and small rock shrimp. Not at all what it used to be!
My niece got the Medallions of Filet it should have been described as a medallion of fillet.   
Maybe it was just going in for lunch service, even the wait staff was not up to usual standards.
Sorry to say not sure if Iâll ever go back.
Wish they would just raise the prices and keep the quality of both the food and staff.",0,0,0,0,0
3,"This was Valentine's Day, and we were looking forward to our dinner. It was a big disappointment ,the service was slow, food didn't come out in a timely manner, and we were rushed, we will never return for one of these prefix menus again. We really like this place it has always been top service and great food. Hopefully, this was just a bad day.",0,0,0,0,0
4,"Iâve been coming to Dal Rae for years. I wanted to have Galentines dinner with my close girlfriends, so I booked the place. We sat at the bar while we waited for our party to arrive. The bartender was excellent and Efficient. We sat at our table, and the service went downhill from there. The server took forever to greet us and get our drinks. He offered to tell my friends the main dishes because it was their first time there. He forgot half the speech. We never got our drinks, we had to ask for service multiple times. Other parties were fed and waited on and left before we got our food. We were seated under an AC vent, and asked to have it lowered because it made our food cold. We had to wear our jackets for the same reason. We ordered a bottle and it took an hour to get to us. Our reservation was for 8:30 and we didnât leave till 11:45 because of the poor service. By the time we got to dessert everything was gone. Such a huge disappointment because Dal Rae is known for quality service and food.",0,0,0,0,0
5,"WHAT IS WRONG WITH THIS PLACE NOW? SERVICE WAS BAD(HOSTESS GAVE US TWO HOURS TO EAT SHE SAID SO!
FOOD ORDER WAS WRONG. RECEIVED BOOLD RARE STEAK. ORDER IT MED. WELL DONE!
HOSTESS TOOK IT BACK BECAUSE THE SERVER WAS NOWHERE TO BE FOUND!
CHEF DELIVERED SECOND STEAK WITH NO FORK TO EAT WITH. I HAD TO SCREAM FOR A FORK? WHAT???
MANAGER APOLOGIZED, BUT THAT WAS NOT ENOUGH FOR ME.
I DROPPED A SUBSTANTIAL AMOUNT OF COIN IN THIS PLACE OVER THE LAST 35+ YEARS, WHEN THE MANAGEMENT WAS DIFFERENT AND BETTER. NEW PEOPLE ARE $$$ HUNGRY AND THE RESTAURANT IS SUFFERING. NO RELISH TRAY ANYMORE, GIANT PLATE WITH LITTLE BITTY AMOUNTS OF FOOD THAT COST AN ARE AND A LEG.
LASTLY THE VALET TOOK HIS TIME RETRIEVING OUR VEHICLE, IN THE COLD, WE WAITED AT LEAST FIVE MINUTES, SHIVERING THE WHOLE TIME!!!
ON A SCALE FROM ONE TO TEN, I GIVE YOU A FOUR(4).
USED TO RATE THIS PLACE A TEN(10). NOT WITH NEW OWNERS THOUGH.
MANAGER SHOULD HAVE COMPT MY DINNER AT LEAST, NO, ONLY TWO DRINKS COMPT, BIG DEAL.
THIS WAS MY WOMENS 67th BIRTHDAY!
SHOULD HAVE TAKEN HER TO Lawrys. BETTER SERVICE AND FOOD.
I WILL NOT BE BACK TO THIS RIP=OFF HUT AGAIN!!!
THANKS FOR NOTHING!",0,0,0,0,0
6,"I have been your place many-many times but your service of last night was very bad. I am very disappointed. since I have another appointment with you next week, I will go again but I may not make any more reservation in future.
Receptionist...Very bossy, Serve....Very slow, but also you tried kick us out due to too many persons were waited ..may be....   Is this right way to do ????",1,1,1,1,1
7,Had reservations 8 pm didnât get seated til 9:30 ate dinner at 11:00 pm and had to sit in the noisy bar area,0,0,0,0,0
8,"Had to wait 25 minutes past reservation time to be seated and even had to remind the hostess we were still waiting.  Food wasnât bad, but wouldnât bother making a second reservation.",0,0,0,0,0
9,"I went to this location expecting something comparable to water grill since the pricing was relatively the same and let me tell you that it was a miserable disappointment! Sat at the bar and got drinks to start the night and my old fashion was made incorrectly and my girlfriendâs margarita was grapefruit water. Moved over to be seated and they were nice to replace the table cloth since it was dirty. And then we split a salad and ordered the angel hair pasta with a custom request of having it with shrimp. The salad was good, pretty basic but did the job. The pasta was overtly buttered and there was 5 shrimp per pasta dish. To my amazement, each pasta dish went from $20 ea. to $43 because of 5 shrimp LOL what a scam! We could have gotten chilean sea bass for $10 more. Never going to this location again and even the valet didnât give me the correct amount of cash back. Do better!!",0,0,0,0,0
